City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ostrovnoy,68.0531,39.5131,1.21,92,9,3.24,RU,1681822234
1,bumba,2.1833,22.4667,34.03,40,100,0.61,CD,1681822682
2,methoni,36.8197,21.7049,19.56,66,9,4.18,GR,1681822683
3,punta arenas,-53.15,-70.9167,7.06,81,0,11.32,CL,1681822134
4,quang ngai,15.1167,108.8,24.23,89,100,2.48,VN,1681822685
5,georgetown,5.4112,100.3354,27.96,94,20,0.0,MY,1681821911
6,nyimba,-14.5566,30.8149,24.18,71,97,0.3,ZM,1681822686
7,port alfred,-33.5906,26.891,25.1,76,0,0.89,ZA,1681822169
8,cayenne,4.9333,-52.3333,24.02,94,75,0.0,GF,1681822433
9,ushuaia,-54.8,-68.3,4.81,87,75,9.26,AR,1681822688
10,busselton,-33.65,115.3333,14.09,68,0,6.02,AU,1681822113
11,tornio,65.8481,24.1466,10.01,97,100,1.72,FI,1681822689
12,nowy sacz,49.6218,20.6971,15.62,52,100,4.68,PL,1681822689
13,yellowknife,62.456,-114.3525,-1.71,74,20,5.66,CA,1681822129
14,tuktoyaktuk,69.4541,-133.0374,-18.52,98,100,3.38,CA,1681822145
15,hambantota,6.1241,81.1185,30.19,84,40,2.06,LK,1681822311
16,faanui,-16.4833,-151.75,27.99,77,26,7.86,PF,1681822285
17,san patricio,28.017,-97.5169,22.91,82,100,3.2,US,1681822319
18,sitka,57.0531,-135.33,0.94,86,0,0.0,US,1681822323
19,wajima,37.4,136.9,11.26,95,100,3.84,JP,1681822694
20,mar del plata,-38.0023,-57.5575,16.16,88,75,3.09,AR,1681822120
21,kangaatsiaq,68.3065,-53.4641,-6.08,82,100,3.85,GL,1681822159
22,providencia,28.7167,-111.5833,14.57,58,41,4.12,MX,1681822695
23,touros,-5.1989,-35.4608,29.62,67,88,3.91,BR,1681822136
24,katsuura,35.1333,140.3,18.01,74,100,9.99,JP,1681822175
25,karabuk,41.2049,32.6277,21.11,46,95,1.42,TR,1681822697
26,bredasdorp,-34.5322,20.0403,25.25,31,0,2.63,ZA,1681822135
27,ouahigouya,13.5828,-2.4216,39.8,4,7,4.07,BF,1681822698
28,bethel,41.3712,-73.414,11.2,59,100,3.6,US,1681821992
29,kalagarh,29.5,78.75,36.47,14,100,5.01,IN,1681822699
30,berlevag,70.8578,29.0864,4.97,81,40,6.17,NO,1681822212
31,taoudenni,22.6783,-3.9836,37.28,9,68,6.08,ML,1681822237
32,tromso,69.6496,18.957,6.88,75,75,7.2,NO,1681822701
33,rikitea,-23.1203,-134.9692,25.87,76,61,7.08,PF,1681822119
34,geraldton,-28.7667,114.6,20.23,77,0,4.12,AU,1681822146
35,cascavel,-24.9558,-53.4553,18.78,100,75,2.57,BR,1681822702
36,filingue,14.3521,3.3168,40.65,5,7,3.35,NE,1681822703
37,dunedin,-45.8742,170.5036,10.45,98,56,0.45,NZ,1681822252
38,tarko-sale,64.9225,77.785,-8.11,88,84,7.53,RU,1681822704
39,mahebourg,-20.4081,57.7,28.16,78,75,5.66,MU,1681822162
40,puerto ayora,-0.7393,-90.3518,24.19,100,66,0.66,EC,1681822182
41,lompoc,34.6391,-120.4579,9.88,84,40,8.05,US,1681822161
42,fairmont,39.4851,-80.1426,6.88,67,7,0.89,US,1681822706
43,cape town,-33.9258,18.4232,25.62,56,0,5.14,ZA,1681821903
44,nikolskoye,59.7035,30.7861,11.94,66,100,4.01,RU,1681822237
45,charters towers,-20.1,146.2667,20.83,88,3,3.17,AU,1681822707
46,arraial do cabo,-22.9661,-42.0278,28.92,65,0,2.57,BR,1681822188
47,cherskiy,68.75,161.3,-6.54,93,81,3.38,RU,1681822117
48,raga,8.4596,25.678,38.3,20,75,3.45,SS,1681822709
49,waipawa,-41.4122,175.5153,13.64,82,99,2.71,NZ,1681822710
50,jalu,29.0331,21.5482,26.84,21,79,6.8,LY,1681822710
51,jamestown,42.097,-79.2353,1.12,95,100,4.12,US,1681822042
52,chokurdakh,70.6333,147.9167,-13.14,96,100,3.52,RU,1681822123
53,ancud,-41.8697,-73.8203,12.42,93,100,1.62,CL,1681822200
54,vila velha,-20.3297,-40.2925,28.3,75,0,4.63,BR,1681822092
55,atuona,-9.8,-139.0333,26.82,79,5,6.92,PF,1681822116
56,meadow lake,34.8014,-106.5436,13.01,26,0,2.54,US,1681822564
57,ponta do sol,32.6667,-17.1,24.84,72,96,1.22,PT,1681822298
58,karratha,-20.7377,116.8463,26.14,53,5,2.31,AU,1681822714
59,mataura,-46.1927,168.8643,11.38,94,100,1.74,NZ,1681822715
60,margate,51.3813,1.3862,9.94,74,100,3.58,GB,1681822144
61,salalah,17.0151,54.0924,31.05,58,40,5.66,OM,1681822466
62,igarka,67.4667,86.5833,-7.54,93,100,3.3,RU,1681822717
63,sao felix do xingu,-6.6447,-51.995,27.59,77,94,1.12,BR,1681822323
64,petrozavodsk,61.7849,34.3469,9.7,20,0,5.0,RU,1681822718
65,albany,42.6001,-73.9662,6.47,75,18,4.21,US,1681821954
66,chuy,-33.6971,-53.4616,16.25,60,66,3.82,UY,1681822169
67,waingapu,-9.6567,120.2641,25.79,87,68,2.48,ID,1681822720
68,ouango,4.3133,22.5552,33.93,39,100,1.95,CF,1681822720
69,qui nhon,13.7667,109.2333,26.45,89,12,6.22,VN,1681822356
70,nyurba,63.2842,118.3319,-11.94,95,89,1.86,RU,1681822721
71,birao,10.2849,22.7882,39.86,19,33,2.73,CF,1681822722
72,kodiak,57.79,-152.4072,-3.27,50,100,7.2,US,1681822056
73,slonim,53.0867,25.3219,13.45,56,99,4.23,BY,1681822723
74,kapaa,22.0752,-159.319,23.18,86,40,6.69,US,1681822724
75,iztapa,13.9333,-90.7075,27.27,62,10,1.49,GT,1681822724
76,altamira,-3.2033,-52.2064,28.05,83,75,1.54,BR,1681822725
77,gat,31.61,34.7642,31.89,30,0,4.31,IL,1681822682
78,hobart,-42.8794,147.3294,15.92,81,75,3.6,AU,1681822726
79,avarua,-21.2078,-159.775,25.03,61,100,5.14,CK,1681822727
80,dikson,73.5069,80.5464,-11.89,97,100,2.39,RU,1681822187
